orderNumber,deliveryDate,invoiceDate,paymentTerm,invoiceAmount
m,Thu Jul 06 2023 16:19:01 GMT+0200 (Central European Summer Time),Sun Jun 18 2023 04:53:38 GMT+0200 (Central European Summer Time),PS,36409
p,Sun Apr 02 2023 11:51:09 GMT+0200 (Central European Summer Time),Wed Jul 27 2022 17:11:08 GMT+0200 (Central European Summer Time),AU,6544
j,Thu Apr 06 2023 21:23:16 GMT+0200 (Central European Summer Time),Tue Dec 06 2022 06:18:38 GMT+0100 (Central European Standard Time),PR,32386
t,Fri Sep 30 2022 12:48:38 GMT+0200 (Central European Summer Time),Fri Aug 12 2022 14:36:30 GMT+0200 (Central European Summer Time),FR,91351
r,Sun Jul 31 2022 01:42:53 GMT+0200 (Central European Summer Time),Sun Jan 15 2023 07:39:49 GMT+0100 (Central European Standard Time),TO,79622
4,Tue Feb 07 2023 20:27:39 GMT+0100 (Central European Standard Time),Thu Jul 13 2023 17:35:25 GMT+0200 (Central European Summer Time),FO,36810
i,Wed Dec 28 2022 16:59:45 GMT+0100 (Central European Standard Time),Fri Mar 31 2023 18:33:12 GMT+0200 (Central European Summer Time),IQ,1526
0,Fri Dec 02 2022 12:35:03 GMT+0100 (Central European Standard Time),Sun Nov 20 2022 06:58:19 GMT+0100 (Central European Standard Time),NP,86634
2,Sun Jun 04 2023 14:52:50 GMT+0200 (Central European Summer Time),Mon Jan 16 2023 02:42:28 GMT+0100 (Central European Standard Time),TW,97596
j,Thu Nov 03 2022 16:31:36 GMT+0100 (Central European Standard Time),Thu Mar 09 2023 13:43:08 GMT+0100 (Central European Standard Time),EE,53491
f,Fri Mar 24 2023 16:56:02 GMT+0100 (Central European Standard Time),Mon Mar 13 2023 10:36:22 GMT+0100 (Central European Standard Time),KW,73883
a,Tue Aug 23 2022 04:17:38 GMT+0200 (Central European Summer Time),Mon Apr 17 2023 12:16:18 GMT+0200 (Central European Summer Time),MM,64732
a,Wed Jul 12 2023 05:55:42 GMT+0200 (Central European Summer Time),Thu Sep 22 2022 15:05:43 GMT+0200 (Central European Summer Time),BA,75156
m,Wed Apr 12 2023 16:38:17 GMT+0200 (Central European Summer Time),Thu Jun 15 2023 23:25:25 GMT+0200 (Central European Summer Time),EG,82121
7,Wed Oct 12 2022 02:17:05 GMT+0200 (Central European Summer Time),Wed Aug 24 2022 11:46:51 GMT+0200 (Central European Summer Time),RE,80783
m,Sun Sep 04 2022 22:39:34 GMT+0200 (Central European Summer Time),Wed Oct 19 2022 05:38:30 GMT+0200 (Central European Summer Time),BS,69083
m,Wed Oct 05 2022 08:20:54 GMT+0200 (Central European Summer Time),Tue Nov 01 2022 15:29:01 GMT+0100 (Central European Standard Time),CF,27973
4,Mon Feb 06 2023 15:29:22 GMT+0100 (Central European Standard Time),Sun Mar 19 2023 16:57:09 GMT+0100 (Central European Standard Time),IE,47154
z,Sun Jun 04 2023 22:24:38 GMT+0200 (Central European Summer Time),Tue Feb 21 2023 10:21:18 GMT+0100 (Central European Standard Time),TF,40654
g,Tue Feb 28 2023 16:16:06 GMT+0100 (Central European Standard Time),Sat Jul 30 2022 19:19:05 GMT+0200 (Central European Summer Time),GA,83273
j,Thu Oct 13 2022 01:01:35 GMT+0200 (Central European Summer Time),Fri Apr 14 2023 13:22:05 GMT+0200 (Central European Summer Time),NE,69945
x,Sat Jun 10 2023 23:57:39 GMT+0200 (Central European Summer Time),Thu Jul 28 2022 11:47:46 GMT+0200 (Central European Summer Time),AW,41040
i,Sat Jul 15 2023 10:45:28 GMT+0200 (Central European Summer Time),Mon Sep 12 2022 08:03:57 GMT+0200 (Central European Summer Time),PK,19663
s,Wed Apr 12 2023 15:26:55 GMT+0200 (Central European Summer Time),Fri Jan 13 2023 14:12:21 GMT+0100 (Central European Standard Time),MA,6186
b,Tue Jan 10 2023 20:27:56 GMT+0100 (Central European Standard Time),Mon Oct 10 2022 02:15:46 GMT+0200 (Central European Summer Time),AG,16427
t,Sun Oct 09 2022 12:47:33 GMT+0200 (Central European Summer Time),Sun Sep 18 2022 09:19:41 GMT+0200 (Central European Summer Time),VG,6215
j,Fri Apr 28 2023 02:50:33 GMT+0200 (Central European Summer Time),Sun Aug 07 2022 18:53:26 GMT+0200 (Central European Summer Time),OM,25348
j,Mon Apr 03 2023 11:34:11 GMT+0200 (Central European Summer Time),Fri Nov 25 2022 17:37:56 GMT+0100 (Central European Standard Time),SH,4862
t,Thu Oct 27 2022 09:13:25 GMT+0200 (Central European Summer Time),Fri Jan 20 2023 17:00:28 GMT+0100 (Central European Standard Time),PW,36053
f,Sat Nov 19 2022 18:50:41 GMT+0100 (Central European Standard Time),Mon Feb 06 2023 03:09:54 GMT+0100 (Central European Standard Time),GP,1905
s,Thu Mar 09 2023 16:55:53 GMT+0100 (Central European Standard Time),Sat Oct 22 2022 00:09:49 GMT+0200 (Central European Summer Time),BA,96670
e,Tue Oct 25 2022 07:56:32 GMT+0200 (Central European Summer Time),Fri Feb 17 2023 13:05:10 GMT+0100 (Central European Standard Time),IL,70812
6,Wed Jan 04 2023 00:43:16 GMT+0100 (Central European Standard Time),Tue Jan 24 2023 08:49:05 GMT+0100 (Central European Standard Time),AI,7502
n,Thu Jan 05 2023 22:14:34 GMT+0100 (Central European Standard Time),Thu Oct 06 2022 18:34:18 GMT+0200 (Central European Summer Time),MF,86016
v,Mon Dec 12 2022 22:55:19 GMT+0100 (Central European Standard Time),Tue Aug 30 2022 09:02:20 GMT+0200 (Central European Summer Time),AQ,12877
w,Mon Feb 06 2023 03:29:44 GMT+0100 (Central European Standard Time),Thu Jun 08 2023 11:44:14 GMT+0200 (Central European Summer Time),TV,96584
o,Tue Aug 30 2022 07:48:49 GMT+0200 (Central European Summer Time),Sun Jan 08 2023 08:14:02 GMT+0100 (Central European Standard Time),MQ,16908
4,Sun Apr 23 2023 00:56:12 GMT+0200 (Central European Summer Time),Wed Jan 25 2023 00:17:03 GMT+0100 (Central European Standard Time),IM,7756
4,Mon Dec 05 2022 17:41:44 GMT+0100 (Central European Standard Time),Fri Apr 07 2023 16:28:07 GMT+0200 (Central European Summer Time),JM,1006
k,Wed Nov 16 2022 15:07:51 GMT+0100 (Central European Standard Time),Fri May 05 2023 14:09:02 GMT+0200 (Central European Summer Time),AS,38537
o,Thu May 18 2023 04:31:16 GMT+0200 (Central European Summer Time),Mon Jun 19 2023 05:55:42 GMT+0200 (Central European Summer Time),BT,58104
8,Mon Jun 26 2023 00:58:54 GMT+0200 (Central European Summer Time),Wed Nov 16 2022 18:02:21 GMT+0100 (Central European Standard Time),MC,88718
d,Tue Nov 01 2022 13:02:18 GMT+0100 (Central European Standard Time),Wed Aug 17 2022 16:55:21 GMT+0200 (Central European Summer Time),KR,18924
6,Mon Nov 28 2022 09:45:45 GMT+0100 (Central European Standard Time),Fri Jul 14 2023 17:14:34 GMT+0200 (Central European Summer Time),SN,33795
i,Mon Aug 29 2022 04:34:16 GMT+0200 (Central European Summer Time),Wed Sep 14 2022 07:30:18 GMT+0200 (Central European Summer Time),TZ,82203
u,Mon Oct 10 2022 17:14:14 GMT+0200 (Central European Summer Time),Mon Nov 14 2022 02:15:29 GMT+0100 (Central European Standard Time),UY,10658
s,Fri Nov 25 2022 00:54:30 GMT+0100 (Central European Standard Time),Sat Mar 04 2023 10:20:27 GMT+0100 (Central European Standard Time),TR,74570
9,Sat Apr 15 2023 02:07:20 GMT+0200 (Central European Summer Time),Fri Aug 12 2022 13:55:12 GMT+0200 (Central European Summer Time),BW,19648
5,Tue Dec 20 2022 05:06:56 GMT+0100 (Central European Standard Time),Tue Sep 06 2022 23:03:03 GMT+0200 (Central European Summer Time),LY,96582
0,Tue May 02 2023 00:38:39 GMT+0200 (Central European Summer Time),Tue Jun 27 2023 20:00:27 GMT+0200 (Central European Summer Time),RE,57267
s,Wed Nov 02 2022 19:38:56 GMT+0100 (Central European Standard Time),Fri Mar 17 2023 15:23:48 GMT+0100 (Central European Standard Time),MM,90705
0,Wed May 24 2023 16:57:00 GMT+0200 (Central European Summer Time),Thu Sep 29 2022 22:10:18 GMT+0200 (Central European Summer Time),SJ,79235
e,Wed Jul 20 2022 11:57:18 GMT+0200 (Central European Summer Time),Wed Dec 14 2022 11:54:25 GMT+0100 (Central European Standard Time),TM,37792
i,Fri Jan 13 2023 15:11:50 GMT+0100 (Central European Standard Time),Fri Aug 26 2022 23:31:52 GMT+0200 (Central European Summer Time),SG,68171
6,Wed Mar 01 2023 17:29:09 GMT+0100 (Central European Standard Time),Thu Jul 28 2022 22:50:54 GMT+0200 (Central European Summer Time),SC,50808
l,Tue Mar 07 2023 22:33:08 GMT+0100 (Central European Standard Time),Fri Mar 17 2023 03:29:53 GMT+0100 (Central European Standard Time),BH,83405
9,Fri Jul 07 2023 00:14:20 GMT+0200 (Central European Summer Time),Sat Mar 18 2023 23:39:10 GMT+0100 (Central European Standard Time),TC,92955
z,Wed Oct 12 2022 17:52:38 GMT+0200 (Central European Summer Time),Sat Oct 22 2022 05:31:37 GMT+0200 (Central European Summer Time),UZ,74351
n,Sun Apr 23 2023 08:18:22 GMT+0200 (Central European Summer Time),Sun Feb 12 2023 22:57:39 GMT+0100 (Central European Standard Time),PN,97362
n,Fri Feb 03 2023 00:52:25 GMT+0100 (Central European Standard Time),Mon Nov 21 2022 15:27:31 GMT+0100 (Central European Standard Time),EG,63053
r,Tue Feb 21 2023 11:38:49 GMT+0100 (Central European Standard Time),Mon May 01 2023 10:30:26 GMT+0200 (Central European Summer Time),CO,377
t,Wed Feb 08 2023 22:49:42 GMT+0100 (Central European Standard Time),Sun Apr 02 2023 07:12:49 GMT+0200 (Central European Summer Time),SX,2353
5,Mon Sep 05 2022 12:44:32 GMT+0200 (Central European Summer Time),Mon Oct 03 2022 23:42:07 GMT+0200 (Central European Summer Time),PS,12066
0,Wed Aug 03 2022 16:47:48 GMT+0200 (Central European Summer Time),Sat Dec 31 2022 16:29:27 GMT+0100 (Central European Standard Time),PF,22506
y,Sun Feb 05 2023 16:31:18 GMT+0100 (Central European Standard Time),Sat Feb 04 2023 19:59:03 GMT+0100 (Central European Standard Time),JM,36867
0,Sun Jul 02 2023 04:39:04 GMT+0200 (Central European Summer Time),Thu Aug 11 2022 08:49:06 GMT+0200 (Central European Summer Time),ST,75494
4,Sun Aug 07 2022 00:14:14 GMT+0200 (Central European Summer Time),Thu Jan 12 2023 00:51:03 GMT+0100 (Central European Standard Time),NO,71150
g,Thu Dec 15 2022 14:43:33 GMT+0100 (Central European Standard Time),Sat Sep 03 2022 08:50:34 GMT+0200 (Central European Summer Time),QA,44341
v,Sun Sep 04 2022 08:13:43 GMT+0200 (Central European Summer Time),Mon Sep 26 2022 18:48:11 GMT+0200 (Central European Summer Time),MV,63763
a,Sun Aug 14 2022 20:28:09 GMT+0200 (Central European Summer Time),Wed Jan 11 2023 11:34:47 GMT+0100 (Central European Standard Time),SX,29995
2,Thu Dec 01 2022 18:13:32 GMT+0100 (Central European Standard Time),Tue Dec 13 2022 18:21:47 GMT+0100 (Central European Standard Time),MW,29715
r,Wed May 10 2023 16:59:50 GMT+0200 (Central European Summer Time),Mon Aug 08 2022 23:01:14 GMT+0200 (Central European Summer Time),HM,15490
9,Mon Jul 25 2022 06:26:16 GMT+0200 (Central European Summer Time),Wed Dec 21 2022 19:49:47 GMT+0100 (Central European Standard Time),GY,19007
s,Mon Oct 24 2022 13:10:15 GMT+0200 (Central European Summer Time),Fri Oct 07 2022 12:50:32 GMT+0200 (Central European Summer Time),AQ,81027
y,Mon Apr 03 2023 20:15:12 GMT+0200 (Central European Summer Time),Sat Jul 01 2023 20:35:35 GMT+0200 (Central European Summer Time),BB,26067
s,Fri Jan 20 2023 15:07:35 GMT+0100 (Central European Standard Time),Mon Mar 06 2023 12:25:49 GMT+0100 (Central European Standard Time),BD,18082
h,Mon Jul 25 2022 10:05:47 GMT+0200 (Central European Summer Time),Wed Mar 22 2023 00:32:34 GMT+0100 (Central European Standard Time),GG,57706
5,Tue Nov 15 2022 07:51:26 GMT+0100 (Central European Standard Time),Tue Nov 01 2022 15:56:42 GMT+0100 (Central European Standard Time),SC,30687
h,Wed Mar 15 2023 21:34:06 GMT+0100 (Central European Standard Time),Thu Jun 29 2023 13:59:16 GMT+0200 (Central European Summer Time),PW,75150
m,Thu Mar 09 2023 23:06:21 GMT+0100 (Central European Standard Time),Sun May 14 2023 23:31:15 GMT+0200 (Central European Summer Time),IL,6103
d,Sun Apr 30 2023 06:54:18 GMT+0200 (Central European Summer Time),Fri Oct 14 2022 04:56:25 GMT+0200 (Central European Summer Time),SY,5336
x,Fri Oct 14 2022 17:01:06 GMT+0200 (Central European Summer Time),Tue Sep 27 2022 05:05:15 GMT+0200 (Central European Summer Time),MK,34415
1,Fri Apr 14 2023 12:05:38 GMT+0200 (Central European Summer Time),Sun Jan 29 2023 05:16:46 GMT+0100 (Central European Standard Time),BE,79498
z,Thu Aug 11 2022 04:19:48 GMT+0200 (Central European Summer Time),Sat Jul 15 2023 03:30:43 GMT+0200 (Central European Summer Time),CD,84444
g,Thu Nov 17 2022 17:16:16 GMT+0100 (Central European Standard Time),Wed Jun 21 2023 11:10:27 GMT+0200 (Central European Summer Time),NF,48384
x,Tue Aug 23 2022 08:52:06 GMT+0200 (Central European Summer Time),Fri Dec 23 2022 02:51:16 GMT+0100 (Central European Standard Time),SV,83611
a,Wed Apr 12 2023 07:15:46 GMT+0200 (Central European Summer Time),Sun Apr 30 2023 15:15:24 GMT+0200 (Central European Summer Time),KW,12109
h,Sun Dec 18 2022 21:16:35 GMT+0100 (Central European Standard Time),Thu May 25 2023 01:06:08 GMT+0200 (Central European Summer Time),GU,20764
l,Thu Jun 08 2023 10:18:44 GMT+0200 (Central European Summer Time),Sun Aug 07 2022 09:53:03 GMT+0200 (Central European Summer Time),MH,61252
z,Mon Jun 12 2023 08:54:51 GMT+0200 (Central European Summer Time),Tue Sep 27 2022 02:48:04 GMT+0200 (Central European Summer Time),KY,87747
e,Sat Nov 12 2022 12:45:41 GMT+0100 (Central European Standard Time),Sun Feb 12 2023 05:53:17 GMT+0100 (Central European Standard Time),NA,81120
r,Tue Sep 20 2022 13:02:53 GMT+0200 (Central European Summer Time),Thu May 11 2023 14:01:00 GMT+0200 (Central European Summer Time),TN,13075
6,Mon Mar 20 2023 12:07:44 GMT+0100 (Central European Standard Time),Fri Feb 03 2023 21:43:25 GMT+0100 (Central European Standard Time),GI,79735
e,Mon Jun 26 2023 04:12:42 GMT+0200 (Central European Summer Time),Mon Jul 17 2023 08:26:18 GMT+0200 (Central European Summer Time),VI,5813
x,Thu Feb 09 2023 02:12:37 GMT+0100 (Central European Standard Time),Sat Jun 03 2023 00:39:30 GMT+0200 (Central European Summer Time),NI,88093
4,Wed Mar 22 2023 16:40:01 GMT+0100 (Central European Standard Time),Sat Jan 14 2023 18:43:19 GMT+0100 (Central European Standard Time),SG,71494
n,Sat Aug 06 2022 19:04:59 GMT+0200 (Central European Summer Time),Mon Mar 20 2023 16:00:20 GMT+0100 (Central European Standard Time),AO,42851
j,Sun Dec 04 2022 08:38:40 GMT+0100 (Central European Standard Time),Sat Mar 04 2023 19:38:31 GMT+0100 (Central European Standard Time),TM,65368
d,Wed Mar 15 2023 10:23:25 GMT+0100 (Central European Standard Time),Thu Nov 24 2022 10:44:24 GMT+0100 (Central European Standard Time),AM,35172
j,Fri Mar 31 2023 03:50:30 GMT+0200 (Central European Summer Time),Mon Sep 12 2022 19:16:04 GMT+0200 (Central European Summer Time),NO,4021